,DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0,0,incl,central,0,0.0,2.5,20,1000,0,1,1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x
1,0,incl,down,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0490522+6.44195e-05*x+-9.47618e-08*x*x))
2,0,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0454285+6.90715e-05*x+-1.01414e-07*x*x))
3,0,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1-(0.0182876))
4,0,incl,up,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0490522+6.44195e-05*x+-9.47618e-08*x*x))
5,0,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0454285+6.90715e-05*x+-1.01414e-07*x*x))
6,0,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33091+6.62324e-05*x+-1.19411e-07*x*x+-1.84379/x)*(1+(0.0182876))
7,1,incl,central,0,0.0,2.5,20,1000,0,1,1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x
8,1,incl,down,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.118505+0.000202743*x+-2.64228e-07*x*x))
9,1,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.110898+0.000211159*x+-2.76621e-07*x*x))
10,1,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1-(0.0435201))
11,1,incl,up,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.118505+0.000202743*x+-2.64228e-07*x*x))
12,1,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.110898+0.000211159*x+-2.76621e-07*x*x))
13,1,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.33806+0.000233452*x+9.35591e-09*x*x+2.43996/x)*(1+(0.0435201))
14,2,incl,central,0,0.0,2.5,20,1000,0,1,"1.41865+92.0563/(pow(x,1.5))+-9.85825/x"
15,2,incl,down,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.213944+0.000187249*x+-2.3611e-07*x*x))"
16,2,incl,down_correlated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.196719+0.000197379*x+-2.54895e-07*x*x))"
17,2,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1-(0.0888358))"
18,2,incl,up,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.213944+0.000187249*x+-2.3611e-07*x*x))"
19,2,incl,up_correlated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.196719+0.000197379*x+-2.54895e-07*x*x))"
20,2,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,"(1.41865+92.0563/(pow(x,1.5))+-9.85825/x)*(1+(0.0888358))"
21,0,comb,central,4,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)
22,0,comb,central,5,0.0,2.5,20,1000,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)
23,0,comb,down,4,0.0,2.5,20,30,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.036870192736387253
24,0,comb,down,4,0.0,2.5,30,50,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.018523497506976128
25,0,comb,down,4,0.0,2.5,50,70,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.026087731122970581
26,0,comb,down,4,0.0,2.5,70,100,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021970339119434357
27,0,comb,down,4,0.0,2.5,100,140,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021595878526568413
28,0,comb,down,4,0.0,2.5,140,200,0,1,1.0007*(1.+0.000290434*x)/(1.+0.000349262*x)-0.021700587123632431
